address,instruction,function,stage/unit
out of processor 00000000 (000007e8 flushed),"lw a4,56(a5)",main,"UART,SoC Interconnect,"
00000000 (000007f8 flushed),"lw a5,64(a5)",main,"Execute Stage,"
00000000 (000007bc flushed),"lw a4,12(a4)",main,"Execute Stage,"
000007dc,"bne a4,a3,7d8 <main+0x98>",main,"Execute Stage,Memory Stage,Decode Stage,"
out of processor 00000000 (00000800 flushed),"lui a3,0x1800",main,"SoC Interconnect,"
00000000 (000007d8 flushed),"lw a4,68(a5)",main,"Decode Stage,Execute Stage,Memory Stage,"
out of processor 00000000 (000007a4 flushed),"lw a3,0(a4)",main,"UART,"
out of processor 00000000 (000007bc flushed),"lw a4,12(a4)",main,"UART,"
out of processor 00000000 (000007b4 flushed),"lw a3,8(a4)",main,"UART,"
out of processor 00000000 (000007ac flushed),"lw a3,4(a4)",main,"UART,"
000007c0,"sw a4,32(a5)",main,"Decode Stage,"
00000000 (000007b4 flushed),"lw a3,8(a4)",main,"Execute Stage,"
000007c4,"addi a4,zero,6",main,"Execute Stage,"
00000000 (000007c4 flushed),"addi a4,zero,6",main,"Decode Stage,"
000007f4,"sw a4,48(zero) # 30 <kernel+0x20>",main,"Decode Stage,Memory Stage,"
000007ec,"sw a4,44(zero) # 2c <kernel+0x1c>",main,"Decode Stage,Memory Stage,"
000007e4,"sw a4,40(zero) # 28 <kernel+0x18>",main,"Decode Stage,Memory Stage,"
000007fc,"sw a5,52(zero) # 34 <kernel+0x24>",main,"Decode Stage,Execute Stage,"
000007bc,"lw a4,12(a4)",main,"Memory Stage,"
000007b4,"lw a3,8(a4)",main,"Memory Stage,"
000007ac,"lw a3,4(a4)",main,"Memory Stage,"
000007a4,"lw a3,0(a4)",main,"Memory Stage,"
out of processor 00000798,"lw a4,12(a4)",main,"T-DMA,UART,SoC Interconnect,"
out of processor 00000790,"lw a3,8(a4)",main,"T-DMA,UART,SoC Interconnect,"
out of processor 00000788,"lw a3,4(a4)",main,"T-DMA,UART,SoC Interconnect,"
000007a0,"addi a4,zero,24",main,"Decode Stage,"
000007e0,"lw a4,52(a5)",main,"Decode Stage,"
00000000 (000007d0 flushed),"sw a4,0(a5)",main,"Execute Stage,Memory Stage,Decode Stage,"
00000000 (000007cc flushed),"addi a4,zero,4",main,"Memory Stage,"
out of processor 000007b8,"sw a3,28(a5)",main,"T-DMA,"
000007d0,"sw a4,0(a5)",main,"Memory Stage,Execute Stage,"
000007d4,"addi a3,zero,1",main,"Decode Stage,Memory Stage,Execute Stage,"
00000800,"lui a3,0x1800",main,"Decode Stage,"
00000000 (000007a0 flushed),"addi a4,zero,24",main,"Decode Stage,"
00000000 (00000804 flushed),"addi a5,zero,1",main,"Decode Stage,Execute Stage,"
00000000 (0000080c flushed),"lui a4,0x1000",main,"Decode Stage,"
00000808,"sw a5,0(a3) # 1800000 <__global_pointer$+0x17fefad>",main,"Memory Stage,"
out of processor 00000808,"sw a5,0(a3) # 1800000 <__global_pointer$+0x17fefad>",main,"GPIO,"
